vin,v_id,make,model,year,owner_id,registered_date,mileage
JTMB74A04D0019874,VEH001,Toyota,Camry,2013,OWN001,2013-03-15,145000
5TDJRRH20LS093456,VEH002,Toyota,Highlander,2020,OWN002,2020-08-22,45000
JM1BL54F000204160,VEH003,Mazda,Protege,1999,OWN003,1999-07-10,98000
WVWZZZ3CZ9E269714,VEH004,Volkswagen,Jetta,2009,OWN004,2009-11-18,156000
3G1FB1E38D4164828,VEH005,Chevrolet,Cruze,2013,OWN005,2013-09-25,203000
KMHLN4AJ5DU054435,VEH006,Hyundai,Elantra,2013,OWN006,2013-11-12,189000
2HGEJ6252YH546186,VEH007,Honda,Accord,2000,OWN001,2000-05-08,267000
5FNHL6H76FB123456,VEH008,Honda,Odyssey,2015,OWN007,2015-01-30,78000
1G1FB1E30F1124916,VEH009,Chevrolet,Cruze,2015,OWN008,2015-04-10,67000
WBADT33452B123456,VEH010,BMW,X5,2002,OWN009,2002-10-14,289000
2B3CJ5C56VH548476,VEH011,Dodge,Caravan,2002,OWN010,2002-08-22,245000
JTMB44A04D0019876,VEH012,Toyota,Camry,2013,OWN011,2013-05-20,187000
5FDKH73D95B123456,VEH013,Honda,Odyssey,2005,OWN001,2005-07-15,312000
JTHBF5A25D5078438,VEH014,Toyota,Prius,2013,OWN012,2013-09-18,98000
1G1YY22G965143471,VEH015,Chevrolet,Cavalier,2006,OWN013,2006-03-25,256000
